iter	TotalF1	MultiClass
142	0.9552478731	0.1327870213
143	0.9552498045	0.1324527409
144	0.9553310938	0.1320444967
145	0.9553972072	0.1316577017
146	0.955430401	0.1313221596
147	0.955531114	0.1309760425
148	0.9556364921	0.1306065779
149	0.9556547643	0.1302428256
150	0.9557423383	0.1298791869
151	0.9557760726	0.1295821643
152	0.9558038959	0.1292800545
153	0.9558379229	0.1289546773
154	0.9558775565	0.1287216577
155	0.9559136636	0.128421125
156	0.9559759399	0.1281668693
157	0.9560330897	0.1278520725
158	0.9560641177	0.1275107962
159	0.9561302928	0.1272324539
160	0.9561801776	0.1269606546
161	0.9562175362	0.1266715137
162	0.9562649968	0.1264026629
163	0.9563589941	0.1261462352
164	0.9563953223	0.125843861
165	0.9564237511	0.1256400066
166	0.9564815374	0.1254502516
167	0.9565298475	0.1252325625
168	0.9565803875	0.1250237214
169	0.9566772435	0.1247337011
170	0.9567211686	0.1245291058
171	0.9568107753	0.1243167065
172	0.9568445378	0.1240952044
173	0.9569251194	0.123785783
174	0.956994036	0.1236101414
175	0.9570635268	0.1233929239
176	0.9571162142	0.1231477485
177	0.9571489174	0.1229419731
178	0.9572247392	0.1227013701
179	0.9572995105	0.1225943823
180	0.9573190855	0.1223896549
181	0.9573449722	0.1222403094
182	0.9574069139	0.1220384266
183	0.9574182256	0.1218490358
184	0.9574810427	0.1216477912
185	0.957494978	0.1215129867
186	0.9575560062	0.1212948354
187	0.9576250452	0.1210982149
188	0.9576262272	0.1209252607
189	0.9577020431	0.1207261826
190	0.9577282679	0.1205287241
191	0.9577633681	0.1203939768
192	0.9578060968	0.1202846593
193	0.9578557991	0.1200982965
194	0.9578782744	0.1199208332
195	0.957929617	0.1197653302
196	0.9579833401	0.1196150227
197	0.9580479134	0.1194870578
198	0.9581027829	0.1193377691
199	0.9581109229	0.1191857878
200	0.9582193765	0.1189971642
201	0.9582347361	0.1188801536
202	0.9582993049	0.1187381563
203	0.958344472	0.118548361
204	0.9583822975	0.1183632097
205	0.9584496147	0.1181637639
206	0.9585312627	0.1179810061
207	0.9585431868	0.1178261169
208	0.9585663795	0.1177346351
209	0.9585825159	0.1176207381
210	0.9586370667	0.1174860085
211	0.9586980693	0.1173128981
212	0.9587391651	0.1171647251
213	0.9587763247	0.1170565682
214	0.9588147229	0.1169369386
215	0.9588432922	0.1167814145
216	0.9588601091	0.1165982902
217	0.9588860727	0.1164850443
218	0.9588997477	0.1163978721
219	0.9589394704	0.1162969433
220	0.9589722744	0.1161935594
221	0.9589751834	0.1160879219
222	0.9589796562	0.1159759049
223	0.9590130796	0.1158601151
224	0.9590704357	0.115728613
225	0.9591106341	0.115631157
226	0.9591027284	0.115520091
227	0.9591745107	0.1153252175
228	0.9592391771	0.1151665
229	0.9592664418	0.1150667772
230	0.9593117483	0.1149702387
231	0.9593424585	0.1148547263
232	0.9593835557	0.11475686
233	0.9593945016	0.1146562214
234	0.9594442637	0.1145227781
235	0.9594490765	0.1143936103
236	0.959495924	0.1142558762
237	0.9595306588	0.1141593383
238	0.9595615808	0.1140321539
239	0.9595809345	0.1139441369
240	0.9596001438	0.1138824824
241	0.9596306537	0.1137837447
242	0.9596817537	0.1136504485
243	0.9597217918	0.1135464224
244	0.9597359648	0.1134569633
245	0.9597597985	0.1133666579
246	0.9598110229	0.1132833487
247	0.9598089775	0.1131855426
248	0.9598313473	0.1130947
249	0.9598676073	0.1129952588
250	0.9598640916	0.1129191149
251	0.9599349728	0.1128020565
252	0.9599404385	0.1127325878
253	0.9599602869	0.1126594004
254	0.9600107215	0.1125239653
255	0.960032453	0.112429687
256	0.9600870281	0.1123109909
257	0.9600844626	0.1122045529
258	0.9601700953	0.1120655052
259	0.9602154323	0.1119935474
260	0.9602191056	0.1119161905
261	0.9602532071	0.1118323938
